"fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent","smoothed"
2007-01-01,16029.77266,15405.696576914,10304.30509,5574.6275,5128.282,14987.3532,5911.75240062341,2387.08142775,5735.71614088548,10304.30509,5713.873,4590.43209,0,1025.898,0.634419593599887,258524.47218,-62364.5790253047,54.42,53.68,NA
2007-02-01,14202.41541,13946.746423086,9210.37639,4890.307,4485.596,13557.95505,4774.07201739048,2048.1717998,5513.6695076999,9210.37639,5656.911,3553.46539,0,825.84,1.50673889339987,296630.79295,-66285.1258077375,59.44,57.56,NA
2007-03-01,14944.46022,14461.753,10304.83802,5180.04097,4733.882,13995.33884,5313.43192244,2897.70006365,5636.43342685733,10304.83802,5137.83,5167.00802,0,1021.885,2.15003779380004,282563.69179,-97316.6079041926,60.93,62.05,NA
2007-04-01,15061.70616,14441.826,9314.54541,4907.763,4456.415,13654.93986,4673.948589,3014.2631505,5225.52375570652,9314.54541,5169.221,4145.32441,0,1020.43,2.88746346016023,322245.47179,-105673.4603262,64.02,67.49,NA
2007-05-01,15862.39327,15350.514,9223.90262,3870.73722,3420.54,14573.02632,4206.39561242,2791.2315503,5307.086,9223.90262,4509.777,4714.12562,0,996.375,6.05282171260001,303183.56967,-122932.655729207,63.68,67.21,NA
2007-06-01,15439.00501,15040.442,11841.7941,4230.384,3853.829,14630.65878,4993.44674616,3201.80567185,5324.88281887781,11841.7941,5632.829,6208.9651,0,800.208,2.75692542320007,363243.70839,-144627.276199345,67.95,71.05,9.65084993162127
2007-07-01,15799.54084,15705.874029144,12238.97607,5372.892,4910.322,15248.52717,5655.6269667,2665.20798785,5692.35936862328,12238.97607,6697.497,5541.47907,0,1631.58,5.24009769140002,527691.53395,-127061.120050955,74.16,76.93,9.65136238720086
2007-08-01,15756.26119,15244.222970856,10209.1579,5416.922,4959.384,15253.48912,6242.13090711048,2336.6225006,5646.92423443462,10209.1579,5802.809,4406.3489,0,1342.88,2.47539332453016,441572.82699,-103228.11723299,72.36,70.76,9.65614341473327
2007-09-01,15505.83919,14891.184,10909.70937,5246.073,4790.526,14263.88476,5550.66514676,3000.49776855,5483.18455257962,10909.70937,6192.302,4717.40737,0,1380.148,2.161064334,483987.8454,-136694.129712615,79.53,77.17,9.66049977665106
2007-10-01,15921.16689,15132.79,10604.825,4651.34404,4176.495,14833.32498,5735.39630622,2850.638936,5853.45580696638,10604.825,5835.69,4769.135,0,1574.303,2.63337926800023,522281.56933,-146588.310230328,85.47,82.34,9.66185317219055
2007-11-01,15541.25651,15424.750478734,9213.75434,5242.447,4775.979,14440.45359,5779.28965514,2482.0071917,5610.65781998286,9213.75434,5210.93,4002.82434,0,1580.831,3.03549266019991,544967.13923,-156262.180007,92.74,92.41,9.65975015086214
2007-12-01,16483.3134,16390.561788442,10722.06489,5668.73,5183.016,15581.06016,6303.2628997,2766.8330716,5678.64860266795,10722.06489,5047.419,5674.64589,0,1215.51,1.14523954219999,488554.99782,-157356.432225012,91.4,90.93,9.65647716453988
2008-01-01,16128.65093,15730.959,12226.19579,5346.66876,4854.732,15844.29152,5637.80742857143,2610.7006699,5672.96466235405,12226.19579,8843.574,3382.62179,0,1544.919,2.02144243072007,794474.75969,-136887.089484607,92.91,92.18,9.65460223702272
2008-02-01,15041.0688,14418.847,12258.00981,4707.776,4241.231,13260.11524,4935.12736680952,1910.75597945,5203.50614048929,12258.00981,7251.697,5006.31281,0,976.64,2.33221862721007,659072.76559,-99333.4354425405,95.35,94.99,9.65376817188489
2008-03-01,15746.48271,15534.274,8925.89522,5389.35,4905.734,15401.80486,5796.75244609333,2661.9391358,5347.69728645857,8925.89522,5424.321,3501.57422,0,1010.965,2.1497864681503,562817.76476,-149835.480809975,105.55,103.64,9.65075340737685
2008-04-01,15308.31666,15036.511,10820.46251,4950.594,4466.52,14791.73946,5540.29211104476,2229.4666007,5477.40221242638,10820.46251,5326.65455,5493.80796,0,1332.105,2.53234964411013,629792.32879,-145517.08802809,112.19,109.07,9.64799520869175
2008-05-01,15467.09476,15117.948,11600.52879,5361.04465333333,4878.251,14377.56063,5408.55755728191,2412.51083385,5710.25957435805,11600.52879,6597.33998,5003.18881,0,1331.218,4.12357766337004,834504.57104,-171117.662731954,125.34,122.8,9.64531778429766
2008-06-01,14844.37884,14568.261,10377.86945,4912.006,4439.939,14433.24244,5463.70719047619,2655.099587,5833.79679582466,10377.86945,6201.1013,4176.76815,0,966.466,3.87468389292007,838069.73885,-252332.827818423,134.14,132.32,9.64145612683066
2008-07-01,15448.03404,15199.973,9707.91381,5161.884,4683.463,14529.68675,5288.33223503143,2938.1375995,5951.77351909052,9707.91381,6142.64718,3565.26663,0,1144.829,4.64197192048005,834401.00232,-239711.247634015,133.53,132.72,9.63872628373738
2008-08-01,15599.346783,15199.818,10551.91877,5424.089,4950.258,14751.17199,6194.89166649429,3144.60499895,5930.70994229167,10551.91877,6563.34303,3988.57574,0,1536.431,2.48727676979956,811522.68592,-229903.246704115,116.76,113.24,9.63244432984662
2008-09-01,14954.90741,14791.243,9543.66873,5403.115,4931.801,14132.4743,6073.09746654799,2779.222968,6056.89404282267,9543.66873,5914.00423,3629.6645,0,1467.58328,2.47892640069995,662357.41223,-197371.956127588,104.7,97.23,9.63066665878952
2008-10-01,15402.82741,15075.81518,10408.06077,5410.77149,4934.228,14492.65662,5756.85812465919,2452.8835159,6222.01830508057,10408.06077,6561.1592,3846.90157,0,1257.833,2.28805515590989,483673.81839,-130063.264091191,76.77,71.58,9.6281635768969
2008-11-01,15049.86627,14918.883,9108.96214,5393.3618,4898.454,14092.79957,5640.70759661545,3030.2332734,5718.44012117552,9108.96214,6429.33743,2636.30296,0,1503.811,1.78864129584031,333056.87162,-78749.0888692586,57.43,52.45,9.62691387699699
