"","fecha","reservas_internacionales","pasivos_monetarios","emision_monetaria","dinero_electronico","reservas_bancarias","depositos_a_la_vista","cuasidinero_total","cuasidinero_ahorro","cuasidinero_plazo","cuasidinero_restringido","cuasidinero_operaciones_de_reporto","cuasidinero_otros_depositos","credito_al_sector_privado_total","credito_al_sector_privado_cartera","crédito_al_sector_privado_otros","tasas_de_interes_referenciales_porcentajes_basica","tasas_de_interes_referenciales_porcentajes_pasiva","tasas_de_interes_referenciales_porcentajes_activa","inflacion_mensual","inflacion_anual","inflacion_acumulada"
"1",2006-01-01,28740.080774,5906.095715,755.138219,0,5150.957496,41152.421316,66598.55,33073.78,30902.57,333.13,697.3,1591.77,99656.583741,94120.44,5536.143741,35.43,54.68,102.18,2.83600340425687,39.613925961421,22.9944864347831
"2",2007-01-01,37248.48,6724.79,808.08,0,5916.71,46517.48,75709.61,38004,33045.72,2646.09,641.71,1372.09,119058.5,113736,5322.5,63.2,65.06,122.54,3.27911278168739,27.2994711184321,15.9421567282458
"3",2008-01-01,65024.283737,10399.362857,895.39374,0,9503.969117,63457.726809,94441.14,47271.96,41488.1,3232.73,832.05,1616.3,144411.355919,138019.66,6391.695919,23.6,66.37,117.27,8.50829792006085,100.679217081855,75.752121515653
"4",2009-01-01,45255.460537,11301.588352,903.804333,0,10397.784019,62699.631757,102044.28,50946.89,45795.72,3106.16,92.02,2103.49,159109.047966,151477.14,7631.907966,2.4,64.84,110.44,4.24542353392648,62.4271687537985,32.7004195076732
"5",2010-01-01,45972.548334,20426.198526,954.402164,0,19471.796362,78974.163309,123458.31,61521.84,55727.73,4094.49,40.17,2074.08,184116.067212,174905.8,9210.267212,2.4,54.87,108.32,3.2817283978716,42.6890151272636,23.7603449430056
"6",2011-01-01,45955.153185,21318.096913,989.154313,0,20328.9426,92251.384502,154513.75,75221.23,70494.43,5469.18,383.2,2945.71,229778.058236,216455.23,13322.828236,2.4,54.76,100.16,5.28400080871318,53.63050283881,37.349343234989
"7",2012-01-01,44852.63679,24583.099195,998.654046,0,23584.445149,103753.645422,188102.19,86691.25,89848.89,6930.17,237.8,4394.08,275174.088214,256969.13,18204.958214,2.4,54.36,98.04,4.10146436733589,61.2760864021316,33.7204607712931
"8",2013-01-01,49054.661726,33589.531499,1015.514936,0,32574.016563,115136.617487,208510.01,96743.73,101259.91,8004.69,123.95,2377.73,305206.356504,284889.53,20316.826504,2.4,54.36,98.04,2.67098862456325,32.7366761646797,16.6466133092948
"9",2014-01-01,60125.744766,40137.172476,1044.062686,0.163716,39092.946074,128053.428971,239093,109317.33,117429,9225.97,48.6,3072.1,332523.016928,316992,15531.016928,2.4,58.85,97.4,3.60724069177412,43.0554109205014,27.1767690545376
"10",2015-01-01,45201.881688,34171.538454,1039.934738,6.966742,33124.636974,121723.062485,251694.08,110317.82,123630.47,14424.79,21.3,3299.7,352153.069333,338750.16,13402.909333,2.4,64.1,99.91,3.32990020805416,47.6253168471263,30.7186636500382
"11",2016-01-01,42575.7213352,55071.259845,1017.919535,22.144553,54031.195757,120629.757168,260508.17,107574.99,133569.42,15388.53,40,3935.23,341179.431328,325429.74,15749.691328,2.4,68.8,104.32,1.11717172983196,20.7932518970248,11.0673376969623
"12",2017-01-01,45516.237212,59957.43088,1041.815737,104.666484,58810.948659,147030.495615,295635.14,124894.13,149892.75,16462.85,109,4276.41,385922.953356,368633.47,17289.483356,2.4,58.82,95.03,-0.18,5.01,2.63
"13",2018-01-01,43821.378967,55956.991754,1008.309764,30.202914,54918.479076,151352.547002,326206.14,134003.18,171083.56,18000.56,0.8,3118.04,449191.801113,434005.24,15186.561113,2.4,61.58,92.64,0.266,-2.65,2.33
"14",2019-01-01,45942.599025,53391.630496,965.967273,0,52425.663223,144816.157478,356874.74,135590.22,198834.61,19877.94,4,2567.97,506757.520366,492172.93,14584.590366,2.4,70.41,102.72,-0.05218656731807,3.19466681924772,2.30466681924772
"15",2020-01-01,45287.349601,72751.116616,959.4327,0,71791.683916,141789.475493,392823.17,143949.57,227555.85,18744.21,0,2573.54,535864.078836,520141.06,15723.018836,2.4,75.14,106.2,-0.92682074843607,-4.06318991708718,-0.98137670388544
"16",2021-01-01,76506.156989,89223.290544,953.942949,0,88269.347595,161842.060016,445223.165372,162594.384734,260754.357824,19094.036572,0,2780.386242,580361.583609,563121.990198,17239.593411,2.4,67.2,96.88,1.92547292207946,1.69716910903764,11.9234469519606
"17",2022-01-01,100635.09780564,82757.3889357,1030.62140494,0,81726.76753076,182912.60909642,506281.237204,179419.804933,303289.748151,20654.992088,0,2916.692032,671041.18975362,654746.030998,16295.15875562,2.4,70.32,92.06,3.67876283075475,41.5658518076376,30.0592750028473
"18",2023-01-01,82741.78126012,72127.4354562,1047.36848781,0,71080.06696839,174601.7842792,565974.653545,183507.870422,356464.17517,23013.725511,0,2988.882442,742307.76862392,729544.756259,12763.01236492,2.4,85.8,110.33,1.34540863589761,26.6420498680846,12.0093553407649
