"","fecha","reservas_internacionales","pasivos_monetarios","emision_monetaria","dinero_electronico","reservas_bancarias","depositos_a_la_vista","cuasidinero_total","cuasidinero_ahorro","cuasidinero_plazo","cuasidinero_restringido","cuasidinero_operaciones_de_reporto","cuasidinero_otros_depositos","credito_al_sector_privado_total","credito_al_sector_privado_cartera","crédito_al_sector_privado_otros","tasas_de_interes_referenciales_porcentajes_basica","tasas_de_interes_referenciales_porcentajes_pasiva","tasas_de_interes_referenciales_porcentajes_activa","inflacion_mensual","inflacion_anual","inflacion_acumulada"
"1",2006-01-31,1939.92,409.58,62,0,347.58,3143.66,5141.94,2534.95,2436.24,1,47.01,122.74,7740.15,7132.9,607.25,3,4.44,7.94,0.47811487263544,3.37433369968518,0.47811487263544
"2",2006-02-28,1913.48783,493.136981,60.435125,0,432.701856,3124.315339,5272.98,2577.08,2481.29,0,83.78,130.83,7864.559028,7234.98,629.579028,3,4.29,8.29,0.70780764583334,3.82343382612836,1.18930665209317
"3",2006-03-31,2350.74,485.14,61.91,0,423.23,3264.66,5353.84,2628.6,2551.93,0,61.87,111.44,8029.51,7355.09,674.42,2.95,4.45,8.52,0.65160566571506,4.22545411960406,1.84866190733599
"4",2006-04-30,2701.34,514.64,61.18,0,453.46,3318.16,5407.5,2765.26,2493.07,0,48.8,100.37,7874.14,7419.66,454.48,2.95,4.21,8.11,0.06847522007303,3.43070431600336,1.91840300271848
"5",2006-05-31,2229.731523,432.75398,62.501905,0,370.252075,3460.483514,5535.16,2768.32,2568.18,1.79,76.73,120.14,7894.826348,7552.19,342.636348,2.94,4.32,7.42,-0.14,3.11,1.78
"6",2006-06-30,2264.1,553.89,62.4,0,491.49,3454.17,5551.1,2787.89,2576.32,1.68,69.25,115.96,8085.8,7690.96,394.84,2.94,4.31,8.36,-0.23,2.8,1.54
"7",2006-07-31,2398.8,447.93,63.04,0,384.89,3460.06,5563.94,2794.98,2597.17,1.35,56.23,114.21,8175.92,7780.39,395.53,2.93,4.59,8.5,0.03,2.99,1.57
"8",2006-08-31,2660.17,516.28,64.07,0,452.21,3535.79,5612.11,2810.9,2648.86,1.06,44.64,106.65,8354.68,7971.17,383.51,2.96,4.46,8.58,0.21,3.36,1.79
"9",2006-09-30,2853.801421,499.844754,63.421189,0,436.423565,3547.262463,5685.84,2823.67,2677.81,3.04,69.16,112.16,8655.678365,8252.38,403.298365,2.98,4.87,7.56,0.57,3.21,2.38
"10",2006-10-31,2991.67,466.92,63.66,0,403.26,3501.81,5856.12,2813.77,2648.71,45.79,67.98,279.87,8785.63,8379.49,406.14,2.94,4.73,10.29,0.35,3.21,2.73
