"","reservas_internacionales","pasivos_monetarios","emision_monetaria","dinero_electronico","reservas_bancarias","depositos_a_la_vista","cuasidinero_total","cuasidinero_ahorro","cuasidinero_plazo","cuasidinero_restringido","cuasidinero_operaciones_de_reporto","cuasidinero_otros_depositos","credito_al_sector_privado_total","credito_al_sector_privado_cartera","crédito_al_sector_privado_otros","tasas_de_interes_referenciales_porcentajes_basica","tasas_de_interes_referenciales_porcentajes_pasiva","tasas_de_interes_referenciales_porcentajes_activa","inflacion_mensual","inflacion_anual","inflacion_acumulada","periodo","TOTAL.NACIONAL.Producción.de.Petróleo.Crudo","TOTAL.NACIONAL.PRODUCCIÓN.DE.PETRÓLEO.CRUDO.FISCALIZADA..Miles.de.barriles.","TOTAL.NACIONAL.EXPORTACIONES.DE.PETRÓLEO.CRUDO..Miles.de.barriles.","TOTAL.NACIONAL.CRUDO.RECIBIDO.EN.REFINERÍAS.Y.CONSUMO.EN.OLEODUCTO..Miles.de.barriles.","TOTAL.NACIONAL.MATERIA.PRIMA.PROCESADA.EN.REFINERÍAS..Miles.de.barriles.","TOTAL.NACIONAL.TRANSPORTE.POR.OLEODUCTOS..Miles.de.barriles.","TOTAL.NACIONAL.PRODUCCIÓN.DE.DERIVADOS..Miles.de.barriles.","TOTAL.NACIONAL.IMPORTACIÓN.DE.DERIVADOS..Miles.de.barriles.","TOTAL.NACIONAL.CONSUMO.INTERNO.DE.DERIVADOS..Miles.de.barriles.","TOTAL.EXPORTACIONES.DE.PETRÓLEO..miles.de.barriles.","EXPORTACIONES.DE.PETRÓLEO.DE.EMPRESAS.PÚBLICAS..miles.de.barriles.","EXPORTACIONES.DE.PETRÓLEO.DE.COMPAÑÍAS.PRIVADAS..miles.de.barriles.","EXPORTACIONES.DE.PETRÓLEO.DE.MEM..miles.de.barriles.","TOTAL.EXPORTACIONES.DE.DERIVADOS..miles.de.barriles.","Exportaciones.de.Derivados..miles.de.barriles.","Ingresos.de.EP.PETROECUADOR.por.Exportaciones..miles.de.USD.","DIFERENCIA.INGRESOS.Y.EGRESOS..miles.de.USD.","Precio.Promedio.Mensual.WTI","Precio.Promedio.Mensual.Brent"
"1",2124.04,501.75,66.06,0,435.69,3627.56,5825.8,2918,2591.03,161.12,33.77,121.88,9346.42,8918.52,427.9,2.93,4.79,8.9,0.3,2.68,0.3,2007-01-01,16029.77266,15405.696576914,10304.30509,5574.6275,5128.282,14987.3532,5911.75240062341,2387.08142775,5735.71614088548,10304.30509,5713.873,4590.43209,0,1025.898,0.634419593599887,258524.47218,-62364.5790253047,54.42,53.68
"2",2468.69,486.19,66.18,0,420.01,3682.41,5890.33,2946.77,2613.23,178.06,46.99,105.28,9397.34,8966.32,431.02,4.93,4.93,9.51,0.07,2.03,0.36,2007-02-01,14202.41541,13946.746423086,9210.37639,4890.307,4485.596,13557.95505,4774.07201739048,2048.1717998,5513.6695076999,9210.37639,5656.911,3553.46539,0,825.84,1.50673889339987,296630.79295,-66285.1258077375,59.44,57.56
"3",2182.37,559.26,65.48,0,493.78,3483.05,5894.88,2938.48,2629.26,175.23,39.7,112.21,9541.1,9121.67,419.43,5.33,5.33,9.38,0.1,1.47,0.46,2007-03-01,14944.46022,14461.753,10304.83802,5180.04097,4733.882,13995.33884,5313.43192244,2897.70006365,5636.43342685733,10304.83802,5137.83,5167.00802,0,1021.885,2.15003779380004,282563.69179,-97316.6079041926,60.93,62.05
"4",2801.24,483.66,65.91,0,417.75,3568.78,6075.91,3083.55,2646.06,201.29,37.49,107.52,9571.08,9150.1,420.98,5.44,5.44,9.98,-0.01,1.39,0.45,2007-04-01,15061.70616,14441.826,9314.54541,4907.763,4456.415,13654.93986,4673.948589,3014.2631505,5225.52375570652,9314.54541,5169.221,4145.32441,0,1020.43,2.88746346016023,322245.47179,-105673.4603262,64.02,67.49
"5",3076.33,512.94,65.78,0,447.16,3759.61,6164.33,3096.88,2706.24,205.89,52.07,103.25,9694.47,9272.77,421.7,5.64,5.64,9.35,0.03,1.56,0.48,2007-05-01,15862.39327,15350.514,9223.90262,3870.73722,3420.54,14573.02632,4206.39561242,2791.2315503,5307.086,9223.90262,4509.777,4714.12562,0,996.375,6.05282171260001,303183.56967,-122932.655729207,63.68,67.21
"6",3204.37,547.66,65.6,0,482.06,3763.66,6185.64,3070.37,2748.76,202.53,44.94,119.04,9823.23,9405.09,418.14,5.2,5.2,9.79,0.39,2.19,0.87,2007-06-01,15439.00501,15040.442,11841.7941,4230.384,3853.829,14630.65878,4993.44674616,3201.80567185,5324.88281887781,11841.7941,5632.829,6208.9651,0,800.208,2.75692542320007,363243.70839,-144627.276199345,67.95,71.05
"7",3440.77,526.61,66.39,0,460.22,3842.28,6287.57,3128.7,2737.21,258.81,41.44,121.41,9981.39,9554.27,427.12,5.53,5.53,10.92,0.42,2.58,1.29,2007-07-01,15799.54084,15705.874029144,12238.97607,5372.892,4910.322,15248.52717,5655.6269667,2665.20798785,5692.35936862328,12238.97607,6697.497,5541.47907,0,1631.58,5.24009769140002,527691.53395,-127061.120050955,74.16,76.93
"8",3510.08,596.9,67.26,0,529.64,3963.98,6468.43,3252.26,2792.63,261.21,50.25,112.08,10095.65,9671.41,424.24,5.53,5.53,10.92,0.07,2.44,1.37,2007-08-01,15756.26119,15244.222970856,10209.1579,5416.922,4959.384,15253.48912,6242.13090711048,2336.6225006,5646.92423443462,10209.1579,5802.809,4406.3489,0,1342.88,2.47539332453016,441572.82699,-103228.11723299,72.36,70.76
"9",3611.13,603.71,67.9,0,535.81,3970.69,6502.36,3246.75,2821.78,251.49,74.19,108.15,10198.79,9759.98,438.81,5.61,5.61,11.82,0.71,2.58,2.09,2007-09-01,15505.83919,14891.184,10909.70937,5246.073,4790.526,14263.88476,5550.66514676,3000.49776855,5483.18455257962,10909.70937,6192.302,4717.40737,0,1380.148,2.161064334,483987.8454,-136694.129712615,79.53,77.17
"10",3690.85,544.57,69.79,0,474.78,4133.09,6617.3,3259.9,2906.32,251.28,70.75,129.05,10294.89,9834.6,460.29,5.63,5.63,10.7,0.13,2.36,2.22,2007-10-01,15921.16689,15132.79,10604.825,4651.34404,4176.495,14833.32498,5735.39630622,2850.638936,5853.45580696638,10604.825,5835.69,4769.135,0,1574.303,2.63337926800023,522281.56933,-146588.310230328,85.47,82.34
